Tarih,Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,RSI,StochRSI,TSI
2026-07-13 09:49,PATEK,21.88,🔴 Düşüş Trendinde,🔴 SAT,-,-,"⚡ Yükseliş Hazırlığı (50>100 Kesti, 150 Bekleniyor)",🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Direnç: 22.50 (%2.8 üstte),-,32.02-35.02 (%46.3 üstte),43.73,13.42,0.05
2026-07-13 09:49,PCILT,32.76,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA21 Destek: 32.64 (%0.4 altta),-,-,49.99,67.34,-0.68
2026-07-13 09:49,PEKGY,14.7,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 14.56 (%1.0 altta),9.93-10.07 (%31.5 altta),-,66.47,94.15,0.97
2026-07-13 09:49,PENGD,10.65,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 10.65 (%0.0 altta) | EMA5 Direnç: 10.77 (%1.2 üstte),7.48-7.79 (%26.9 altta),-,29.47,54.13,-0.73
2026-07-13 09:49,PENTA,13.33,🔴 Düşüş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 13.33 (%0.0 üstte),12.63-12.80 (%4.0 altta),-,35.89,13.55,-0.91
2026-07-13 09:49,PETKM,19.34,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 19.16 (%0.9 altta) | EMA200 Direnç: 19.61 (%1.4 üstte),17.09-17.88 (%7.5 altta),-,41.96,77.13,-0.58
2026-07-13 09:49,PETUN,11.34,🔴 Düşüş Trendinde,🔴 SAT,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),🚀 KUSURSUZ DİP,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 11.47 (%1.1 üstte),11.00-11.25 (%0.8 altta),-,31.9,6.38,-0.92
2026-07-13 09:49,PGSUS,170.2,🔴 Düşüş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 170.41 (%0.1 üstte),-,219.90-226.10 (%29.2 üstte),43.41,16.15,-0.84
2026-07-13 09:49,PINSU,10.41,🔴 Düşüş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 10.43 (%0.2 üstte),-,12.33-12.93 (%18.4 üstte),34.28,11.0,-0.97
2026-07-13 09:49,PKART,125.2,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 116.79 (%6.7 altta) | EMA5 Direnç: 127.04 (%1.5 üstte),69.65-71.60 (%42.8 altta),128.30-152.90 (%2.5 üstte),43.9,29.18,-0.59
2026-07-13 09:49,PKENT,138.2,🔴 Düşüş Trendinde,🔴 SAT,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),🚀 KUSURSUZ DİP,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 139.74 (%1.1 üstte),-,153.70-157.20 (%11.2 üstte),31.75,6.62,-0.91
2026-07-13 09:49,PLTUR,22.54,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 22.66 (%0.5 üstte),20.90-21.32 (%5.4 altta),-,44.92,18.21,-0.16
2026-07-13 09:49,PNLSN,48.54,🔥 AL (Taze Kırılım),🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🚨Fiyat Bandın Üzerinde!,EMA55 Destek: 44.63 (%8.0 altta),39.33-40.59 (%16.4 altta),47.42-49.97 (fiyat bandın içinde!),65.0,66.67,0.18
2026-07-13 09:49,PNSUT,11.26,🔴 Düşüş Trendinde,🔴 SAT,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),🚀 KUSURSUZ DİP,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 11.40 (%1.2 üstte),10.63-10.98 (%2.5 altta),-,28.67,7.94,-0.93
2026-07-13 09:49,POLHO,21.64,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),🩸 SAT (Zirveden Dönüş),-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 21.47 (%0.8 altta),-,22.92-24.14 (%5.9 üstte),59.82,77.4,0.83
2026-07-13 09:49,POLTK,5107.5,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 5167.10 (%1.2 üstte),4815.00-4972.50 (%2.6 altta),10740.00-12320.00 (%110.3 üstte),46.61,9.51,0.09
2026-07-13 09:49,PRDGS,6.93,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 7.08 (%2.1 üstte),5.81-6.03 (%13.0 altta),-,36.51,4.11,-0.46
2026-07-13 09:49,PRKAB,35.68,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 35.31 (%1.0 altta) | EMA21 Direnç: 36.94 (%3.5 üstte),-,-,40.89,38.92,-0.85
2026-07-13 09:49,PRKME,19.37,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 19.26 (%0.6 altta) | EMA55 Direnç: 19.46 (%0.5 üstte),16.99-17.90 (%7.6 altta),-,47.51,1.15,0.3
2026-07-13 09:49,PRZMA,70.65,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 70.38 (%0.4 altta),-,-,64.35,57.29,0.84
2026-07-13 09:49,PSDTC,130.0,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Direnç: 130.37 (%0.3 üstte),-,171.44-186.65 (%31.9 üstte),48.05,8.49,0.22
