Tarih,Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,RSI,StochRSI,TSI
2026-07-17 21:34,PETKM,20.94,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA21 Destek: 20.47 (%2.2 altta),15.67-17.06 (%18.5 altta),-,52.7,10.26,-0.74
2026-07-17 21:34,PETUN,11.75,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 11.27 (%4.1 altta) | EMA55 Direnç: 11.87 (%1.0 üstte),-,-,46.25,4.13,-0.56
2026-07-17 21:34,PGSUS,166.5,🔴 Düşüş Trendinde,🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 161.30 (%3.1 altta) | EMA5 Direnç: 171.74 (%3.1 üstte),-,251.00-264.50 (%50.8 üstte),38.41,36.62,-0.66
2026-07-17 21:34,PINSU,11.44,🟢 Yükseliş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 11.37 (%0.6 altta),5.20-5.57 (%51.3 altta),-,50.69,17.38,-0.81
2026-07-17 21:34,PKART,132.0,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 131.02 (%0.7 altta),14.94-16.22 (%87.7 altta),-,62.16,19.65,0.21
2026-07-17 21:34,PKENT,137.8,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 142.53 (%3.4 üstte),88.80-109.10 (%20.8 altta),-,37.25,2.31,-0.88
2026-07-17 21:34,PLTUR,22.3,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Direnç: 22.78 (%2.2 üstte),-,-,45.29,8.69,-0.76
2026-07-17 21:34,PNLSN,46.34,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 45.76 (%1.3 altta),-,47.76-56.08 (%3.1 üstte),53.3,54.61,-0.1
2026-07-17 21:34,PNSUT,11.58,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 11.32 (%2.3 altta) | EMA5 Direnç: 11.81 (%2.0 üstte),7.73-9.05 (%21.8 altta),-,45.15,2.58,-0.62
2026-07-17 21:34,POLHO,21.64,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 21.26 (%1.7 altta),2.05-2.48 (%88.5 altta),-,60.65,43.98,-0.13
