Tarih,Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,EMA_200_Durumu,RSI,StochRSI,TSI,BB_Bant_Durum,EMA_Durumu
2026-08-21 17:57,ZEDUR,7.72,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 7.80 (%1.0 üstte),-,-,,35.49,51.72,-0.74,0.0,-0.97
2026-08-21 17:57,ZERGY,8.97,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 8.97 (%0.0 üstte),-,20.02-22.00 (%123.2 üstte),,38.21,93.06,-0.15,0.0,999.0
2026-08-21 17:57,ZGYO,30.0,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 31.08 (%3.6 üstte),-,38.36-40.68 (%27.9 üstte),,37.33,43.6,-0.41,0.0,999.0
2026-08-21 17:57,ZOREN,2.28,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 2.27 (%0.4 altta) | EMA21 Direnç: 2.35 (%3.1 üstte),-,3.63-3.71 (%59.2 üstte),,33.44,100.0,-0.73,0.0,0.37
2026-08-21 17:57,ZRGYO,19.63,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 19.60 (%0.1 altta) | EMA200 Direnç: 20.49 (%4.4 üstte),-,22.98-23.28 (%17.1 üstte),,62.06,77.6,0.88,0.0,5.45
2026-08-21 20:50,A1CAP,8.2,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 8.23 (%0.4 üstte),-,-,,32.88,49.47,-0.74,0,-0.35
2026-08-21 20:50,A1YEN,2.79,🔴 Düşüş Trendinde,⏳ BEKLE,🩸 SAT (Zirveden Dönüş),-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 2.79 (%0.1 altta) | EMA21 Direnç: 2.79 (%0.1 üstte),2.60-2.70 (%3.1 altta),2.92-3.12 (%4.7 üstte),,47.86,79.82,0.64,0,0.06
2026-08-21 20:50,AAGYO,13.11,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,-,-,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 12.85 (%2.0 altta) | EMA21 Direnç: 13.15 (%0.3 üstte),-,18.23-20.20 (%39.0 üstte),,44.85,100.0,-0.24,0,999.0
2026-08-21 20:50,ACSEL,119.8,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 119.91 (%0.1 üstte),-,129.40-138.40 (%8.0 üstte),,39.41,37.94,-0.86,0,-0.09
2026-08-21 20:50,ADEL,33.3,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 32.97 (%1.0 altta) | EMA100 Direnç: 33.31 (%0.0 üstte),-,32.26-34.64 (fiyat bandın içinde!),,61.25,75.52,0.81,0,4.8
2026-08-21 20:50,ADESE,0.87,🔴 Düşüş Trendinde,⏳ BEKLE,🔴 ZAYIFLAMA (Zaten Dipte),-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Direnç: 0.87 (%0.3 üstte),-,1.00-1.07 (%14.9 üstte),,46.27,63.58,0.53,0,-0.33
2026-08-21 20:50,ADGYO,63.85,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",⚪ Yelpaze Açık,🚨Fiyat Bandın Üzerinde!,EMA5 Destek: 60.74 (%4.9 altta),-,59.15-65.10 (fiyat bandın içinde!),,68.14,97.09,0.71,0.81,18.83
2026-08-21 20:50,AEFES,19.24,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 18.52 (%3.7 altta) | EMA5 Direnç: 19.31 (%0.4 üstte),13.26-13.70 (%28.8 altta),-,,37.8,19.07,-0.87,0,3.89
2026-08-21 20:50,AFYON,12.98,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,🚨Fiyat Bandın Üzerinde!,EMA100 Destek: 12.97 (%0.1 altta),-,12.68-13.45 (fiyat bandın içinde!),,57.75,58.68,-0.11,0.49,3.11
