Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,EMA_200_Durumu,RSI,StochRSI,TSI
PLTUR,22.72,🔴 Düşüş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 22.56 (%0.7 altta) | EMA21 Direnç: 22.84 (%0.5 üstte),20.90-21.32 (%6.2 altta),-,🟢Fiyat EMA 200 altında! Uzaklık: -4.459212342906471,47.71,30.88,-0.51
PNLSN,48.82,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🚨Fiyat Bandın Üzerinde!,EMA5 Destek: 46.58 (%4.6 altta),39.33-40.59 (%16.9 altta),47.42-49.97 (fiyat bandın içinde!),⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 13.65006881812838,61.95,79.48,0.72
PNSUT,11.54,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 11.36 (%1.5 altta) | EMA21 Direnç: 11.79 (%2.2 üstte),10.63-10.98 (%4.9 altta),-,🟢Fiyat EMA 200 altında! Uzaklık: -7.205092630857046,40.67,57.02,-0.84
POLHO,21.2,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 21.07 (%0.6 altta),19.88-20.60 (%2.8 altta),22.92-24.14 (%8.1 üstte),⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 20.810484339259226,53.63,10.84,0.32
POLTK,5030.0,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 5068.77 (%0.8 üstte),4815.00-4972.50 (%1.1 altta),10740.00-12320.00 (%113.5 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -21.8496013288734,43.99,0.65,-0.78
PRDGS,6.8,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 6.82 (%0.2 üstte),5.81-6.03 (%11.3 altta),-,🟢Fiyat EMA 200 altında! Uzaklık: -4.449691507129838,37.92,13.19,-0.69
PRKAB,35.06,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 34.89 (%0.5 altta) | EMA21 Direnç: 36.37 (%3.7 üstte),-,-,🟢Fiyat EMA 200 altında! Uzaklık: -8.137026028701566,40.45,69.44,-0.8
PRKME,18.9,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Direnç: 19.12 (%1.2 üstte),16.99-17.90 (%5.3 altta),-,🟢Fiyat EMA 200 altında! Uzaklık: -1.1712569377466786,45.91,1.07,-0.57
PRZMA,72.1,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 71.52 (%0.8 altta),-,-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 137.81708591844813,64.81,42.23,0.6
PSDTC,128.0,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 129.63 (%1.3 üstte),115.10-123.00 (%3.9 altta),171.44-186.65 (%33.9 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -6.309588636824426,46.62,0.6,-0.33
PSGYO,3.26,🔴 Düşüş Trendinde,🔴 SAT,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 3.25 (%0.3 altta) | EMA21 Direnç: 3.35 (%2.7 üstte),2.33-2.54 (%22.0 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 8.8217686940691,46.29,15.95,-0.84
QNBFK,52.5,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 51.28 (%2.3 altta),-,-,⚡Fiyat EMA 200'e Yaklaşıyor! Uzaklık: 4.353770092525933,62.18,59.38,0.79
QNBTR,210.0,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 211.93 (%0.9 üstte),-,-,🟢Fiyat EMA 200 altında! Uzaklık: -22.335451120143567,44.85,47.72,0.08
QUAGR,3.57,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 3.57 (%0.0 üstte),2.61-2.69 (%24.6 altta),8.70-9.63 (%143.7 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -24.697357933733898,41.79,40.38,-0.81
RALYH,238.5,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),🟡 RİSKLİ AL (0 Üstü - Hacimsiz),-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA55 Destek: 223.24 (%6.4 altta),134.40-141.30 (%40.8 altta),378.75-393.25 (%58.8 üstte),⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 16.7451286949619,60.6,97.11,0.83
RAYSG,176.0,🔴 Düşüş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 176.38 (%0.2 üstte),-,233.60-255.50 (%32.7 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -18.478114192724682,33.76,12.4,-0.94
REEDR,7.06,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,EMA55 Destek: 7.03 (%0.5 altta) | EMA100 Direnç: 7.23 (%2.4 üstte),5.69-5.88 (%16.7 altta),7.81-8.64 (%10.6 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -10.784102853216792,56.32,100.0,0.6
RGYAS,205.0,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,🚨Fiyat Bandın Üzerinde!,EMA5 Destek: 199.73 (%2.6 altta),190.80-194.00 (%5.4 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 21.384639382907956,66.87,98.12,0.86
RNPOL,2.5,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 2.50 (%0.1 altta) | EMA21 Direnç: 2.51 (%0.4 üstte),-,-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 7.927238500840694,48.96,42.93,0.5
RODRG,25.18,🔴 Düşüş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 25.08 (%0.4 altta) | EMA5 Direnç: 25.58 (%1.6 üstte),-,-,⚡Fiyat EMA 200'e Yaklaşıyor! Uzaklık: 3.6084232116565973,45.36,30.91,0.04
RTALB,3.46,🔴 Düşüş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 3.45 (%0.4 altta) | EMA21 Direnç: 3.51 (%1.5 üstte),3.22-3.35 (%3.2 altta),-,🟢Fiyat EMA 200 altında! Uzaklık: -6.362599508028499,46.56,12.53,-0.5
RUBNS,22.16,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 21.84 (%1.5 altta) | EMA21 Direnç: 23.68 (%6.9 üstte),19.10-19.65 (%11.3 altta),-,🟢Fiyat EMA 200 altında! Uzaklık: -18.723424854168524,33.94,65.35,-0.86
RUZYE,9.41,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 9.37 (%0.4 altta) | EMA21 Direnç: 9.88 (%5.0 üstte),-,-,🟢Fiyat EMA 200 altında! Uzaklık: -18.46191089800954,33.32,24.42,-0.85
RYGYO,31.96,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🚀 ASIL SİNYAL: GÜÇLÜ AL (EMA Sıralı + SSL Onay),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA55 Destek: 31.13 (%2.6 altta),-,-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 15.83067864031249,56.35,79.01,0.44
RYSAS,21.24,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 21.00 (%1.1 altta) | EMA21 Direnç: 21.74 (%2.3 üstte),17.88-18.69 (%12.0 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 10.842779959686766,43.61,68.73,-0.66
SAFKR,20.58,🔴 Düşüş Trendinde,🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 20.70 (%0.6 üstte),-,29.44-30.32 (%43.1 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -13.545096914559274,38.89,55.59,-0.68
SAHOL,90.3,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 90.27 (%0.0 altta) | EMA200 Direnç: 91.88 (%1.8 üstte),73.57-74.90 (%17.1 altta),-,🟢Fiyat EMA 200 altında! Uzaklık: -1.7206868306432588,39.46,17.08,-0.92
SAMAT,5.88,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 6.02 (%2.3 üstte),5.09-5.35 (%9.0 altta),6.60-7.04 (%12.2 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -8.17656859634498,39.62,3.74,-0.89
SANEL,79.9,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 73.11 (%8.5 altta) | EMA5 Direnç: 80.57 (%0.8 üstte),34.34-35.38 (%55.7 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 82.07847001819462,59.44,36.96,0.55
SANFM,9.15,🟢 Yükseliş Trendinde,🔴 SAT,🩸 SAT (Zirveden Dönüş),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 8.96 (%2.1 altta) | EMA21 Direnç: 9.41 (%2.9 üstte),6.30-6.46 (%29.4 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 13.945798837072388,47.43,59.21,0.72
SANKO,20.38,🔴 Düşüş Trendinde,🔴 SAT,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 20.52 (%0.7 üstte),-,25.26-26.12 (%23.9 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -7.701681113525138,35.59,8.6,-0.94
SARKY,26.26,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 26.05 (%0.8 altta) | EMA21 Direnç: 26.90 (%2.5 üstte),-,-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 8.865359604836808,43.05,38.37,-0.65
SASA,2.54,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 2.49 (%2.0 altta) | EMA55 Direnç: 2.59 (%2.1 üstte),-,3.34-3.58 (%31.5 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -11.897234657035128,51.65,96.68,0.07
SAYAS,47.14,🔴 Düşüş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 46.37 (%1.6 altta) | EMA21 Direnç: 49.08 (%4.1 üstte),39.42-41.38 (%12.2 altta),-,🟢Fiyat EMA 200 altında! Uzaklık: -4.274634749226147,42.1,36.65,-0.82
SDTTR,247.1,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 239.04 (%3.3 altta) | EMA55 Direnç: 248.11 (%0.4 üstte),175.50-184.90 (%25.2 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 11.487841229448792,46.63,14.47,-0.38
SEGMN,50.0,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 41.76 (%16.5 altta) | EMA5 Direnç: 51.48 (%3.0 üstte),18.33-18.73 (%62.5 altta),61.40-65.30 (%22.8 üstte),⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 19.72910058364734,41.61,20.8,-0.54
SEGYO,4.52,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 4.56 (%0.9 üstte),4.07-4.25 (%6.0 altta),4.90-5.37 (%8.4 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -8.35194698370505,42.61,76.36,-0.36
SEKFK,10.1,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 9.71 (%3.9 altta) | EMA5 Direnç: 10.12 (%0.2 üstte),7.75-8.20 (%18.8 altta),11.75-12.34 (%16.3 üstte),⚡Fiyat EMA 200'e Yaklaşıyor! Uzaklık: 4.019500214236182,42.67,72.37,-0.73
SEKUR,12.4,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 11.76 (%5.1 altta),2.84-2.95 (%76.2 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 91.76760476964598,63.91,51.81,0.38
SELEC,240.9,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,🔴 ZİRVEDE,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🚨Fiyat Bandın Üzerinde!,EMA5 Destek: 220.00 (%8.7 altta),67.27-69.06 (%71.3 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 118.40422966631738,73.83,33.78,0.39
SELVA,1.89,🔴 Düşüş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 1.88 (%0.3 altta) | EMA21 Direnç: 1.97 (%4.3 üstte),-,-,🟢Fiyat EMA 200 altında! Uzaklık: -22.154314586273095,36.56,13.32,-0.92
SERNT,9.15,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 9.15 (%0.0 üstte),6.96-7.29 (%20.3 altta),-,🟢Fiyat EMA 200 altında! Uzaklık: -2.1644656872203627,43.44,23.11,-0.78
SEYKM,5.3,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 5.13 (%3.2 altta) | EMA200 Direnç: 5.31 (%0.1 üstte),4.27-4.43 (%16.4 altta),6.71-7.43 (%26.6 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -0.10880701429137885,55.1,52.61,0.73
SILVR,2.45,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 2.47 (%0.8 üstte),-,-,🟢Fiyat EMA 200 altında! Uzaklık: -9.604779557390286,36.5,3.95,-0.96
SISE,45.0,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA55 Destek: 44.85 (%0.3 altta),34.77-35.42 (%21.3 altta),51.09-53.41 (%13.5 üstte),⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 6.702087216563468,52.94,81.64,-0.5
SKBNK,18.95,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 18.73 (%1.2 altta),7.33-7.48 (%60.5 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 67.73099797137066,63.86,20.19,0.82
SKTAS,3.43,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 3.49 (%1.7 üstte),3.09-3.25 (%5.2 altta),4.48-4.87 (%30.6 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -11.577339103943663,44.27,18.58,-0.38
SKYLP,249.0,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 242.88 (%2.5 altta) | EMA200 Direnç: 250.24 (%0.5 üstte),-,-,🟢Fiyat EMA 200 altında! Uzaklık: -0.4950568513034992,41.8,90.59,-0.68
SKYMD,14.58,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 14.50 (%0.5 altta) | EMA5 Direnç: 14.72 (%0.9 üstte),11.68-12.21 (%16.3 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 6.925471675152206,51.84,10.53,0.24
SMART,25.1,🔴 Düşüş Trendinde,🔴 SAT,-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 25.27 (%0.7 üstte),22.76-23.34 (%7.0 altta),-,🟢Fiyat EMA 200 altında! Uzaklık: -14.878013304592685,31.54,8.8,-0.91
SMRTG,11.52,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA21 Destek: 11.36 (%1.4 altta),7.30-7.68 (%33.3 altta),12.14-13.31 (%5.4 üstte),⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 17.40694914400556,51.76,74.52,-0.44
SMRVA,13.2,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 13.20 (%0.0 altta) | EMA21 Direnç: 14.17 (%7.4 üstte),10.79-11.08 (%16.0 altta),90.16-100.55 (%583.0 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -54.81793800850161,36.99,9.36,-0.96
SNGYO,3.76,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 3.77 (%0.1 üstte),3.56-3.73 (%0.8 altta),5.18-5.30 (%37.8 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -10.916070300143277,49.7,29.68,-0.16
SNICA,4.0,🔴 Düşüş Trendinde,🔴 SAT,-,-,"⚡ Yükseliş Hazırlığı (50>100 Kesti, 150 Bekleniyor)",⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 4.09 (%2.2 üstte),3.91-4.01 (fiyat bandın içinde!),5.31-5.75 (%32.7 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -7.406648962661533,43.04,0.36,-0.83
SNPAM,20.3,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 20.12 (%0.9 altta) | EMA21 Direnç: 20.82 (%2.5 üstte),-,35.98-37.94 (%77.2 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -13.349725590413797,43.76,49.02,-0.62
SODSN,8.6,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 8.60 (%0.0 altta) | EMA21 Direnç: 8.79 (%2.2 üstte),-,14.16-14.18 (%64.7 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -23.34214712830791,42.1,33.58,-0.49
SOHOE,13.24,-,-,-,-,-,-,-,EMA5 Direnç: 13.62 (%2.9 üstte),-,-,-,,,
SOKE,19.14,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🚨Fiyat Bandın Üzerinde!,EMA5 Destek: 17.69 (%7.6 altta),13.00-13.51 (%29.4 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 30.296584535910487,68.19,100.0,0.74
SOKM,51.25,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,🚨Fiyat Bandın Üzerinde!,EMA100 Destek: 50.15 (%2.1 altta),35.02-36.30 (%29.2 altta),67.35-70.25 (%31.4 üstte),⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 5.723849909281342,64.15,100.0,0.34
SONME,135.0,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,🚨Fiyat Bandın Üzerinde!,EMA55 Destek: 132.29 (%2.0 altta) | EMA100 Direnç: 136.32 (%1.0 üstte),123.50-128.00 (%5.2 altta),155.40-164.80 (%15.1 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -2.284972959252196,59.31,99.29,0.58
SRVGY,2.72,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 2.70 (%0.6 altta) | EMA21 Direnç: 2.78 (%2.1 üstte),-,2.92-3.15 (%7.4 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -12.521661269021656,37.92,86.21,-0.75
SUMAS,323.25,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 322.44 (%0.3 altta) | EMA100 Direnç: 333.47 (%3.2 üstte),253.00-260.00 (%19.6 altta),-,⚡Fiyat EMA 200'e Yaklaşıyor! Uzaklık: 1.0486813548939766,42.76,10.29,-0.55
SUNTK,37.94,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,🔴 ZİRVEDE,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,🚨Fiyat Bandın Üzerinde!,EMA200 Destek: 37.34 (%1.6 altta),-,40.36-44.30 (%6.4 üstte),⚡Fiyat EMA 200'e Yaklaşıyor! Uzaklık: 1.601344686877515,74.27,96.39,0.8
SURGY,68.9,🔴 Düşüş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 68.48 (%0.6 altta) | EMA55 Direnç: 69.19 (%0.4 üstte),42.76-43.28 (%37.2 altta),72.45-77.05 (%5.2 üstte),⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 13.095642104979444,47.18,36.12,-0.41
