Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,BB_Bant_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,EMA_200_Durumu,RSI,StochRSI,TSI
SEKUR,10.94,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),🩸 SAT (Zirveden Dönüş),-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA21 Destek: 9.09 (%16.9 altta) | EMA5 Direnç: 11.04 (%0.9 üstte),0.89-1.20 (%89.0 altta),-,190.37,61.58,12.06,0.85
SELEC,216.7,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 216.50 (%0.1 altta),-,-,204.12,67.24,39.22,0.88
SELVA,1.74,🔴 Düşüş Trendinde,🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 1.84 (%5.8 üstte),-,-,-20.25,38.55,8.78,-0.94
SERNT,8.01,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 8.58 (%7.1 üstte),-,9.46-11.41 (%18.1 üstte),-,39.34,2.16,-0.53
SEYKM,4.82,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 4.93 (%2.3 üstte),2.78-3.07 (%36.3 altta),8.83-11.11 (%83.2 üstte),-11.47,47.33,25.48,-0.36
SILVR,2.21,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,🚨Fiyat Bandın Altında!,-1.62,EMA200 Direnç: 2.31 (%4.6 üstte),1.84-2.10 (%5.0 altta),2.64-2.92 (%19.5 üstte),-4.4,36.1,0.0,-0.81
SISE,41.34,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA100 Destek: 40.84 (%1.2 altta) | EMA55 Direnç: 42.23 (%2.1 üstte),31.53-34.12 (%17.5 altta),50.92-53.88 (%23.2 üstte),11.05,43.15,0.0,-0.83
SKBNK,6.09,🔴 Düşüş Trendinde,🔴 SAT,-,🟢 POTANSİYEL DİP,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,🚨Fiyat Bandın Altında!,-7.57,EMA200 Direnç: 6.37 (%4.5 üstte),-,-,-4.32,34.8,0.0,-0.27
SKTAS,3.17,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 3.30 (%4.0 üstte),-,-,-18.31,44.25,9.42,-0.56
SKYLP,247.2,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA55 Destek: 243.33 (%1.6 altta) | EMA5 Direnç: 263.03 (%6.4 üstte),73.50-80.00 (%67.6 altta),-,70.28,44.45,29.79,-0.85
SKYMD,14.81,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,-,🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 14.56 (%1.7 altta),-,-,-,59.63,53.76,0.73
SMART,23.6,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 23.12 (%2.0 altta) | EMA5 Direnç: 25.31 (%7.3 üstte),21.60-22.50 (%4.7 altta),35.12-40.90 (%48.8 üstte),2.06,37.86,5.05,-0.92
SMRTG,10.78,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA100 Destek: 10.69 (%0.8 altta) | EMA5 Direnç: 11.18 (%3.7 üstte),6.27-7.16 (%33.6 altta),21.10-25.57 (%95.7 üstte),-11.78,53.52,30.17,-0.15
SMRVA,11.37,🔴 Düşüş Trendinde,🔴 SAT,-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 12.23 (%7.6 üstte),-,-,-,36.52,1.57,-0.97
SNGYO,3.15,🔴 Düşüş Trendinde,🔴 SAT,-,🟢 POTANSİYEL DİP,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,🚨Fiyat Bandın Altında!,-1.39,EMA200 Destek: 2.89 (%8.3 altta) | EMA5 Direnç: 3.35 (%6.5 üstte),0.97-1.06 (%66.3 altta),-,9.11,33.74,0.0,-0.59
SNICA,3.53,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 3.78 (%7.0 üstte),-,7.72-10.28 (%118.6 üstte),-,40.1,0.0,-0.51
SNPAM,19.7,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 16.33 (%17.1 altta) | EMA5 Direnç: 19.89 (%1.0 üstte),13.62-14.45 (%26.6 altta),-,20.63,41.15,6.28,-0.94
SODSN,7.78,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 8.26 (%6.2 üstte),-,-,-20.79,30.28,2.27,-0.96
SOHOE,10.71,-,-,-,-,-,-,-,-,EMA5 Direnç: 11.95 (%11.6 üstte),-,-,-,,,
SOKE,15.58,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA55 Destek: 14.85 (%4.7 altta) | EMA5 Direnç: 16.31 (%4.7 üstte),10.32-10.93 (%29.8 altta),20.44-22.72 (%31.2 üstte),-,48.03,5.4,-0.64
SOKM,51.7,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 50.83 (%1.7 altta),34.82-37.50 (%27.5 altta),-,26.61,52.08,83.2,0.19
SONME,120.4,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 94.17 (%21.8 altta) | EMA100 Direnç: 121.20 (%0.7 üstte),-,-,27.85,40.03,17.71,-0.81
SRVGY,2.48,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 2.57 (%3.5 üstte),-,4.34-4.57 (%75.0 üstte),-20.85,35.19,3.99,-0.92
SUMAS,288.0,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 251.74 (%12.6 altta) | EMA100 Direnç: 306.86 (%6.6 üstte),253.25-262.00 (%9.0 altta),-,14.4,44.23,5.46,-0.82
SUNTK,42.14,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 41.41 (%1.7 altta),-,-,68.36,55.85,88.35,0.53
SURGY,51.8,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,🟠 Daralıyor,🚨Fiyat Bandın Altında!,-3.72,EMA100 Direnç: 57.19 (%10.4 üstte),34.94-47.18 (%8.9 altta),-,-,38.97,0.0,-0.55
SUWEN,7.03,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Destek: 6.79 (%3.4 altta) | EMA21 Direnç: 7.68 (%9.3 üstte),-,-,-14.47,43.16,52.24,-0.82
SVGYO,14.52,🔴 Düşüş Trendinde,🔴 SAT,-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 14.82 (%2.1 üstte),-,-,-,58.15,,-0.62
TABGD,263.5,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,-,🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA21 Destek: 248.46 (%5.7 altta),-,-,-,55.77,37.54,-0.63
TARKM,461.5,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA100 Destek: 436.63 (%5.4 altta) | EMA21 Direnç: 471.10 (%2.1 üstte),322.00-341.00 (%26.1 altta),-,-,50.05,9.87,-0.55
TATEN,10.33,🩸 SAT (Trend Kırıldı),🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 11.77 (%14.0 üstte),-,-,-,39.61,8.77,-0.92
TATGD,17.73,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA100 Destek: 17.46 (%1.5 altta) | EMA21 Direnç: 18.29 (%3.2 üstte),10.51-11.50 (%35.1 altta),35.32-39.08 (%99.2 üstte),-8.41,49.22,7.15,-0.86
TAVHL,275.5,🔴 Düşüş Trendinde,⏳ BEKLE,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Destek: 270.77 (%1.7 altta) | EMA55 Direnç: 276.41 (%0.3 üstte),-,-,39.41,48.53,53.76,0.21
TBORG,132.6,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🚀 ASIL SİNYAL: GÜÇLÜ AL (EMA Sıralı + SSL Onay),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Destek: 131.06 (%1.2 altta) | EMA21 Direnç: 139.06 (%4.9 üstte),-,-,26.88,39.85,50.87,-0.79
