Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,BB_Bant_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,EMA_200_Durumu,RSI,StochRSI,TSI
BANVT,161.0,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 160.67 (%0.2 altta) | EMA21 Direnç: 162.63 (%1.0 üstte),-,347.25-395.00 (%115.7 üstte),-1.29,47.67,38.5,0.21
BARMA,14.84,🔴 Düşüş Trendinde,🔴 SAT,-,🟢 POTANSİYEL DİP,-,⚪ Yelpaze Açık,🚨Fiyat Bandın Altında!,-43.81,EMA100 Direnç: 34.09 (%129.7 üstte),-,-,-,24.84,0.0,-0.55
BASCM,13.34,🩸 SAT (Trend Kırıldı),🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA100 Destek: 13.25 (%0.7 altta) | EMA5 Direnç: 13.71 (%2.8 üstte),8.86-9.68 (%27.4 altta),-,25.78,42.21,1.69,-0.36
BASGZ,43.68,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🚨Fiyat Bandın Altında!,-0.23,EMA55 Destek: 42.44 (%2.8 altta) | EMA5 Direnç: 45.15 (%3.4 üstte),-,-,52.97,43.84,0.0,-0.45
BAYRK,4.17,🔴 Düşüş Trendinde,🔴 SAT,-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Direnç: 4.30 (%3.2 üstte),3.67-3.97 (%4.7 altta),-,-3.12,37.4,4.24,-0.89
BEGYO,3.49,🔴 Düşüş Trendinde,🔴 SAT,-,🟢 POTANSİYEL DİP,-,🟠 Daralıyor,🚨Fiyat Bandın Altında!,-0.29,EMA5 Direnç: 3.68 (%5.4 üstte),-,-,-,29.75,1.52,-0.92
BERA,13.09,🔴 Düşüş Trendinde,🔴 SAT,-,🟢 POTANSİYEL DİP,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,🚨Fiyat Bandın Altında!,-1.14,EMA5 Direnç: 13.85 (%5.8 üstte),-,-,-8.06,30.55,3.92,-0.89
BESLR,12.42,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 12.12 (%2.4 altta) | EMA5 Direnç: 12.88 (%3.7 üstte),-,-,2.44,40.1,5.93,-0.92
BESTE,29.3,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA21 Direnç: 29.74 (%1.5 üstte),-,-,-,51.69,,-0.09
BETAE,111.2,-,-,-,-,-,-,-,-,EMA5 Destek: 90.29 (%18.8 altta),-,-,-,,,
BEYAZ,24.34,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 22.11 (%9.2 altta) | EMA5 Direnç: 24.90 (%2.3 üstte),-,-,10.1,42.65,24.5,-0.87
BFREN,125.8,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 128.07 (%1.8 üstte),-,766.50-880.00 (%509.3 üstte),-61.31,33.39,4.28,-0.94
BIENY,20.44,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 21.23 (%3.9 üstte),-,46.10-56.05 (%125.5 üstte),-,36.79,34.98,-0.86
BIGCH,6.52,🔴 Düşüş Trendinde,🔴 SAT,-,-,-,🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 6.76 (%3.6 üstte),4.81-6.18 (%5.2 altta),-,-,42.19,60.67,-0.1
BIGEN,110.6,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,-,-,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 106.89 (%3.4 altta),-,-,-,79.68,33.33,0.97
BIGTK,363.0,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🚨Fiyat Bandın Üzerinde!,0.26,EMA5 Destek: 326.37 (%10.1 altta),-,-,80.83,62.58,84.38,0.87
BIMAS,385.75,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 383.18 (%0.7 altta),-,-,79.77,58.55,38.26,-0.25
BINBN,178.6,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,-,-,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 176.58 (%1.1 altta),-,-,-,52.43,45.69,0.17
BINHO,10.3,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,-,🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 10.05 (%2.5 altta) | EMA100 Direnç: 10.81 (%4.9 üstte),-,15.18-17.84 (%47.4 üstte),-,54.55,42.54,0.56
BIOEN,17.42,🔴 Düşüş Trendinde,🔴 SAT,-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 17.00 (%2.4 altta) | EMA5 Direnç: 17.43 (%0.0 üstte),-,23.28-27.28 (%33.6 üstte),2.47,46.25,13.4,-0.51
BIZIM,24.3,🟢 Yükseliş Trendinde,🔴 SAT,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 24.70 (%1.6 üstte),-,35.66-39.50 (%46.7 üstte),-11.4,40.13,3.13,-0.86
BJKAS,1.74,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA21 Destek: 1.70 (%2.2 altta) | EMA5 Direnç: 1.79 (%2.7 üstte),-,72.25-89.75 (%4052.3 üstte),-82.24,50.95,82.81,0.76
BLCYT,19.6,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 20.79 (%6.1 üstte),-,-,-10.13,36.13,3.48,-0.94
BLUME,36.2,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Destek: 34.54 (%4.6 altta) | EMA21 Direnç: 37.48 (%3.5 üstte),-,-,48.77,46.19,67.85,-0.56
BMSCH,12.22,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 11.53 (%5.6 altta) | EMA5 Direnç: 13.09 (%7.1 üstte),2.20-2.67 (%78.2 altta),-,5.98,32.54,0.74,-0.98
BMSTL,46.66,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🟡 RİSKLİ AL (0 Üstü - Hacimsiz),-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 44.91 (%3.8 altta),-,-,130.18,55.24,53.54,0.69
BNTAS,6.8,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA21 Destek: 6.53 (%3.9 altta) | EMA55 Direnç: 6.86 (%0.9 üstte),2.56-3.04 (%55.3 altta),11.98-12.80 (%76.2 üstte),-1.82,53.49,30.66,-0.69
BOBET,17.91,🔴 Düşüş Trendinde,🔴 SAT,-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 18.20 (%1.6 üstte),17.22-22.15 (fiyat bandın içinde!),32.11-35.81 (%79.3 üstte),-2.37,41.83,18.59,-0.42
BORLS,5.38,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 5.69 (%5.8 üstte),-,27.00-31.20 (%401.9 üstte),-,43.13,9.03,-0.24
BORSK,5.94,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 5.94 (%0.0 üstte),5.33-5.69 (%4.2 altta),6.76-7.82 (%13.8 üstte),-,45.4,21.11,-0.84
BOSSA,6.12,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 5.50 (%10.1 altta) | EMA5 Direnç: 6.39 (%4.5 üstte),5.63-5.90 (%3.6 altta),-,11.28,42.02,37.96,-0.03
BRISA,78.25,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 72.39 (%7.5 altta) | EMA5 Direnç: 80.98 (%3.5 üstte),71.80-77.15 (%1.4 altta),-,8.1,37.74,0.0,-0.97
BRKO,10.7,🩸 SAT (Trend Kırıldı),🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA100 Destek: 10.22 (%4.5 altta) | EMA55 Direnç: 11.39 (%6.5 üstte),7.15-7.65 (%28.5 altta),-,40.21,44.5,5.14,-0.15
BRKSN,7.97,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Destek: 7.80 (%2.2 altta) | EMA21 Direnç: 8.13 (%2.1 üstte),6.29-7.07 (%11.3 altta),-,16.1,46.8,17.68,-0.86
BRKVY,79.95,🔴 Düşüş Trendinde,🔴 SAT,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA100 Direnç: 80.61 (%0.8 üstte),-,-,-,42.12,8.05,-0.93
BRLSM,16.11,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 14.93 (%7.4 altta) | EMA100 Direnç: 16.43 (%2.0 üstte),12.26-13.10 (%18.7 altta),-,7.94,46.89,3.78,-0.65
BRMEN,18.1,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 17.55 (%3.1 altta),-,-,138.39,61.07,71.46,0.87
BRSAN,572.0,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 555.69 (%2.9 altta),301.25-319.75 (%44.1 altta),673.50-784.00 (%17.7 üstte),45.6,52.26,51.56,0.06
BRYAT,1767.0,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 1630.85 (%7.7 altta) | EMA5 Direnç: 1792.43 (%1.4 üstte),1562.66-1643.10 (%7.0 altta),-,8.35,39.31,8.12,-0.9
BSOKE,35.88,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA21 Destek: 34.52 (%3.8 altta) | EMA5 Direnç: 35.89 (%0.0 üstte),14.31-16.12 (%55.1 altta),50.10-60.95 (%39.6 üstte),87.53,57.79,5.47,-0.56
BTCIM,4.98,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,🚨Fiyat Bandın Altında!,-0.6,EMA100 Destek: 4.88 (%2.0 altta) | EMA5 Direnç: 5.24 (%5.2 üstte),-,-,33.26,39.73,2.17,-0.9
BUCIM,5.07,🔴 Düşüş Trendinde,🔴 SAT,-,🟢 POTANSİYEL DİP,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 5.24 (%3.4 üstte),-,8.64-9.22 (%70.3 üstte),-16.41,28.18,1.64,-0.96
BULGS,37.0,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA55 Direnç: 38.24 (%3.4 üstte),-,-,-,41.64,3.48,-0.71
BURCE,35.54,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA100 Destek: 34.61 (%2.6 altta) | EMA5 Direnç: 38.24 (%7.6 üstte),13.57-14.41 (%59.5 altta),-,43.55,38.03,1.49,-0.95
BURVA,850.0,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Destek: 830.45 (%2.3 altta) | EMA21 Direnç: 890.36 (%4.7 üstte),-,-,165.2,49.62,7.07,-0.91
BVSAN,110.0,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA100 Destek: 107.42 (%2.3 altta) | EMA55 Direnç: 113.28 (%3.0 üstte),76.60-82.34 (%25.1 altta),-,-,45.19,3.03,-0.84
BYDNR,38.34,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA21 Destek: 37.92 (%1.1 altta) | EMA5 Direnç: 38.51 (%0.4 üstte),-,-,-,52.83,10.74,-0.61
CANTE,1.21,🔴 Düşüş Trendinde,🔴 SAT,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 1.26 (%4.0 üstte),-,2.43-2.87 (%100.8 üstte),-44.82,29.72,1.24,-0.95
CASA,71.45,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 73.14 (%2.4 üstte),60.00-60.95 (%14.7 altta),-,-30.96,37.06,39.04,-0.93
CATES,49.38,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,-,🟠 Daralıyor,🚨Fiyat Bandın Üzerinde!,0.36,EMA5 Destek: 46.60 (%5.6 altta),29.46-31.40 (%36.4 altta),55.10-67.90 (%11.6 üstte),-,64.45,95.75,0.89
CCOLA,89.0,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 88.46 (%0.6 altta) | EMA100 Direnç: 110.56 (%24.2 üstte),-,773.03-888.15 (%768.6 üstte),-43.05,64.59,84.67,0.72
CELHA,24.98,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 23.46 (%6.1 altta),-,21.72-26.46 (fiyat bandın içinde!),61.52,72.48,81.03,0.93
CEMAS,4.11,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Direnç: 4.13 (%0.5 üstte),2.56-3.01 (%26.8 altta),-,-0.46,35.98,4.87,-0.92
CEMTS,8.85,🔴 Düşüş Trendinde,🔴 SAT,-,🟢 POTANSİYEL DİP,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 9.14 (%3.3 üstte),-,-,-4.55,33.89,0.0,-0.93
CEMZY,12.3,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA55 Destek: 10.00 (%18.7 altta) | EMA21 Direnç: 12.64 (%2.8 üstte),-,-,-,50.58,13.55,-0.23
CEOEM,22.82,🟢 Yükseliş Trendinde,🔴 SAT,-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Direnç: 23.06 (%1.1 üstte),-,24.82-29.40 (%8.8 üstte),-1.05,43.99,3.79,-0.5
CGCAM,39.8,🟢 Yükseliş Trendinde,🔴 SAT,-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA55 Destek: 38.37 (%3.6 altta) | EMA5 Direnç: 41.74 (%4.9 üstte),-,-,-,47.71,2.09,-0.14
CIMSA,44.82,🔴 Düşüş Trendinde,🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA100 Destek: 44.75 (%0.2 altta) | EMA5 Direnç: 46.71 (%4.2 üstte),-,-,31.87,39.16,9.19,-0.86
CLEBI,1437.0,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 1282.02 (%10.8 altta) | EMA5 Direnç: 1489.50 (%3.7 üstte),-,-,12.09,35.08,0.0,-0.95
CMBTN,1614.0,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 1619.94 (%0.4 üstte),-,2500.00-3047.50 (%54.9 üstte),-0.93,44.76,55.79,-0.06
CMENT,279.5,🔴 Düşüş Trendinde,🔴 SAT,-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 258.45 (%7.5 altta) | EMA5 Direnç: 287.47 (%2.9 üstte),-,-,8.14,38.72,25.57,-0.66
CONSE,2.25,🔴 Düşüş Trendinde,🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,🩸 ASIL SİNYAL: GÜÇLÜ SAT (EMA Çöktü + SSL Onay),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 2.45 (%8.8 üstte),-,-,-50.03,33.17,7.79,-0.93
COSMO,114.7,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Direnç: 124.65 (%8.7 üstte),100.00-107.90 (%5.9 altta),-,-7.98,29.51,0.0,-0.98
CRDFA,30.64,🩸 SAT (Trend Kırıldı),🔴 SAT,🩸 SAT (Zirveden Dönüş),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA55 Destek: 25.46 (%16.9 altta) | EMA21 Direnç: 34.63 (%13.0 üstte),0.63-0.71 (%97.7 altta),-,166.15,46.89,29.69,0.31
CRFSA,210.5,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,🔴 ZİRVEDE,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🚨Fiyat Bandın Üzerinde!,8.17,EMA5 Destek: 178.12 (%15.4 altta),77.20-83.70 (%60.2 altta),-,112.8,70.4,95.22,0.77
CUSAN,24.76,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA21 Destek: 24.69 (%0.3 altta),-,-,18.16,50.14,39.83,-0.24
CVKMD,15.91,🩸 SAT (Trend Kırıldı),🔴 SAT,-,🟢 POTANSİYEL DİP,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,🚨Fiyat Bandın Altında!,-37.03,EMA100 Direnç: 24.49 (%53.9 üstte),8.73-11.01 (%30.8 altta),-,-,29.13,0.0,-0.65
CWENE,42.2,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 38.72 (%8.3 altta),12.34-13.76 (%67.4 altta),-,-,59.8,14.2,0.13
DAGI,9.52,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA5 Destek: 9.16 (%3.8 altta),-,-,104.68,68.83,65.63,0.91
DAPGM,9.05,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 7.70 (%14.9 altta) | EMA5 Direnç: 9.21 (%1.8 üstte),-,9.61-12.30 (%6.2 üstte),17.53,41.03,23.89,-0.63
DARDL,1.67,🔴 Düşüş Trendinde,🔴 SAT,-,🟢 POTANSİYEL DİP,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 1.80 (%7.9 üstte),-,7.39-8.43 (%342.5 üstte),-53.14,30.26,0.0,-0.97
DCTTR,7.72,🩸 SAT (Trend Kırıldı),🔴 SAT,-,🟢 POTANSİYEL DİP,-,-,🚨Fiyat Bandın Altında!,-15.53,EMA5 Direnç: 10.53 (%36.4 üstte),-,12.18-14.22 (%57.8 üstte),-,34.67,1.45,-0.68
DENGE,2.28,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 2.35 (%3.1 üstte),-,2.51-2.75 (%10.1 üstte),-14.56,41.56,30.42,-0.24
DERHL,10.8,🔴 Düşüş Trendinde,🔴 SAT,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA5 Direnç: 11.25 (%4.1 üstte),-,-,-21.01,33.34,6.73,-0.97
DERIM,34.16,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 27.41 (%19.7 altta) | EMA5 Direnç: 35.39 (%3.6 üstte),-,-,24.61,42.54,0.0,-0.43
DESA,9.93,🔴 Düşüş Trendinde,⏳ BEKLE,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 9.30 (%6.4 altta) | EMA5 Direnç: 10.07 (%1.4 üstte),7.68-9.68 (%2.5 altta),-,6.83,35.21,6.39,-0.96
DESPC,39.3,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,0,EMA200 Destek: 36.71 (%6.6 altta) | EMA5 Direnç: 42.51 (%8.2 üstte),-,47.28-52.05 (%20.3 üstte),7.05,41.83,38.39,-0.28
DEVA,71.45,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA21 Destek: 69.16 (%3.2 altta) | EMA5 Direnç: 71.72 (%0.4 üstte),-,74.40-79.85 (%4.1 üstte),18.07,54.1,61.9,0.61
DGATE,107.2,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA21 Destek: 100.74 (%6.0 altta) | EMA5 Direnç: 108.10 (%0.8 üstte),-,-,101.84,56.34,18.75,-0.18
DGGYO,34.36,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,0,EMA55 Destek: 33.65 (%2.1 altta) | EMA21 Direnç: 34.73 (%1.1 üstte),-,-,19.6,50.17,19.17,0.4
